Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
DEVON TOEWSDCOL20-21,Devon Toews,D,COL,20-21,Power Play,DEVON TOEWS,53,20202021,90.96666667,29.82%,34.57%,36.44%
JOHN KLINGBERGDDAL20-21,John Klingberg,D,DAL,20-21,Power Play,JOHN KLINGBERG,53,20202021,155.7,62.82%,39.83%,52.00%
JONAS BRODINDMIN20-21,Jonas Brodin,D,MIN,20-21,Power Play,JONAS BRODIN,53,20202021,48.1,17.67%,33.53%,36.61%
K'ANDRE MILLERDNYR20-21,K'andre Miller,D,NYR,20-21,Power Play,K'ANDRE MILLER,53,20202021,53.85,19.66%,35.78%,28.28%
CODY CECIDPIT20-21,Cody Ceci,D,PIT,20-21,Power Play,CODY CECI,53,20202021,4.416666667,1.96%,29.64%,32.84%
JAKE MUZZINDTOR20-21,Jake Muzzin,D,TOR,20-21,Power Play,JAKE MUZZIN,53,20202021,26.11666667,11.27%,34.83%,33.69%
ALEC MARTINEZDVGK20-21,Alec Martinez,D,VGK,20-21,Power Play,ALEC MARTINEZ,53,20202021,77.2,28.59%,33.93%,44.08%
SHEA THEODOREDVGK20-21,Shea Theodore,D,VGK,20-21,Power Play,SHEA THEODORE,53,20202021,162.35,59.15%,38.10%,46.63%
DAVID SAVARDDCBJ/T.B20-21,David Savard,D,CBJ/T.B,20-21,Power Play,DAVID SAVARD,54,20202021,7.266666667,3.15%,36.61%,27.56%
DUNCAN KEITHDCHI20-21,Duncan Keith,D,CHI,20-21,Power Play,DUNCAN KEITH,54,20202021,133.2333333,45.35%,38.41%,46.78%
MACKENZIE WEEGARDFLA20-21,Mackenzie Weegar,D,FLA,20-21,Power Play,MACKENZIE WEEGAR,54,20202021,24.11666667,7.76%,34.51%,34.47%
MIKEY ANDERSONDL.A20-21,Mikey Anderson,D,L.A,20-21,Power Play,MIKEY ANDERSON,54,20202021,5.266666667,1.92%,31.06%,36.72%
JARED SPURGEONDMIN20-21,Jared Spurgeon,D,MIN,20-21,Power Play,JARED SPURGEON,54,20202021,151.2833333,53.59%,37.28%,43.16%
ALEX ROMANOVDMTL20-21,Alex Romanov,D,MTL,20-21,Power Play,ALEX ROMANOV,54,20202021,41.23333333,17.07%,38.42%,41.65%
VICTOR HEDMANDT.B20-21,Victor Hedman,D,T.B,20-21,Power Play,VICTOR HEDMAN,54,20202021,174.7333333,64.73%,40.92%,58.42%
NATE SCHMIDTDVAN20-21,Nate Schmidt,D,VAN,20-21,Power Play,NATE SCHMIDT,54,20202021,56.45,22.06%,37.69%,29.66%
NEAL PIONKDWPG20-21,Neal Pionk,D,WPG,20-21,Power Play,NEAL PIONK,54,20202021,112.8333333,42.88%,38.84%,41.08%
KEVIN SHATTENKIRKDANA20-21,Kevin Shattenkirk,D,ANA,20-21,Power Play,KEVIN SHATTENKIRK,55,20202021,114.0833333,52.95%,39.04%,43.12%
BRETT PESCEDCAR20-21,Brett Pesce,D,CAR,20-21,Power Play,BRETT PESCE,55,20202021,47.71666667,19.39%,37.68%,30.83%
DOUGIE HAMILTONDCAR20-21,Dougie Hamilton,D,CAR,20-21,Power Play,DOUGIE HAMILTON,55,20202021,165.75,67.35%,40.70%,59.43%
MIRO HEISKANENDDAL20-21,Miro Heiskanen,D,DAL,20-21,Power Play,MIRO HEISKANEN,55,20202021,147.7,57.13%,39.29%,49.96%
JEFF PETRYDMTL20-21,Jeff Petry,D,MTL,20-21,Power Play,JEFF PETRY,55,20202021,130.5666667,52.38%,42.53%,45.33%
JOEL EDMUNDSONDMTL20-21,Joel Edmundson,D,MTL,20-21,Power Play,JOEL EDMUNDSON,55,20202021,6.15,2.47%,33.12%,27.34%
ANDY GREENEDNYI20-21,Andy Greene,D,NYI,20-21,Power Play,ANDY GREENE,55,20202021,8.983333333,3.65%,30.61%,35.52%
ADAM FOXDNYR20-21,Adam Fox,D,NYR,20-21,Power Play,ADAM FOX,55,20202021,197.8166667,70.05%,40.64%,59.27%
NIKITA ZAITSEVDOTT20-21,Nikita Zaitsev,D,OTT,20-21,Power Play,NIKITA ZAITSEV,55,20202021,11.61666667,4.09%,36.24%,39.68%
MIKE REILLYDOTT/BOS20-21,Mike Reilly,D,OTT/BOS,20-21,Power Play,MIKE REILLY,55,20202021,63.1,23.91%,39.36%,48.72%
TRAVIS SANHEIMDPHI20-21,Travis Sanheim,D,PHI,20-21,Power Play,TRAVIS SANHEIM,55,20202021,29.83333333,10.83%,34.93%,41.84%
KRIS LETANGDPIT20-21,Kris Letang,D,PIT,20-21,Power Play,KRIS LETANG,55,20202021,166.5666667,71.58%,39.35%,59.77%
JUSTIN HOLLDTOR20-21,Justin Holl,D,TOR,20-21,Power Play,JUSTIN HOLL,55,20202021,8.216666667,3.37%,33.28%,29.55%
MORGAN RIELLYDTOR20-21,Morgan Rielly,D,TOR,20-21,Power Play,MORGAN RIELLY,55,20202021,158.4833333,63.36%,43.79%,54.34%
TYLER MYERSDVAN20-21,Tyler Myers,D,VAN,20-21,Power Play,TYLER MYERS,55,20202021,47.08333333,18.47%,36.73%,30.28%
ZDENO CHARADWSH20-21,Zdeno Chara,D,WSH,20-21,Power Play,ZDENO CHARA,55,20202021,13.43333333,5.58%,34.36%,26.84%
