Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
P.K. SUBBANDN.J20-21,P.k. Subban,D,N.J,20-21,Penalty Kill,P.K. SUBBAN,44,20202021,65.83333333,32.03%,48.44%,34.08%
LIBOR HAJEKDNYR20-21,Libor Hajek,D,NYR,20-21,Penalty Kill,LIBOR HAJEK,44,20202021,29.35,13.33%,42.03%,32.29%
PHILIPPE MYERSDPHI20-21,Philippe Myers,D,PHI,20-21,Penalty Kill,PHILIPPE MYERS,44,20202021,64.26666667,29.45%,47.38%,35.60%
MIKE MATHESONDPIT20-21,Mike Matheson,D,PIT,20-21,Penalty Kill,MIKE MATHESON,44,20202021,3.7,1.87%,43.75%,33.64%
ERIK GUDBRANSONDOTT/NSH20-21,Erik Gudbranson,D,OTT/NSH,20-21,Penalty Kill,ERIK GUDBRANSON,45,20202021,103.6833333,45.57%,57.36%,43.26%
ZACH BOGOSIANDTOR20-21,Zach Bogosian,D,TOR,20-21,Penalty Kill,ZACH BOGOSIAN,45,20202021,62.78333333,33.39%,52.84%,36.27%
JACOB LARSSONDANA20-21,Jacob Larsson,D,ANA,20-21,Penalty Kill,JACOB LARSSON,46,20202021,87.81666667,38.52%,46.12%,35.10%
OLIVER EKMAN-LARSSONDARI20-21,Oliver Ekman-larsson,D,ARI,20-21,Penalty Kill,OLIVER EKMAN-LARSSON,46,20202021,78.88333333,37.09%,43.13%,37.22%
HENRI JOKIHARJUDBUF20-21,Henri Jokiharju,D,BUF,20-21,Penalty Kill,HENRI JOKIHARJU,46,20202021,43.28333333,22.72%,46.43%,37.84%
ANDREJ SEKERADDAL20-21,Andrej Sekera,D,DAL,20-21,Penalty Kill,ANDREJ SEKERA,46,20202021,121.4833333,58.94%,52.81%,41.14%
NOAH DOBSONDNYI20-21,Noah Dobson,D,NYI,20-21,Penalty Kill,NOAH DOBSON,46,20202021,3.383333333,1.89%,30.12%,27.19%
ERIK CERNAKDT.B20-21,Erik Cernak,D,T.B,20-21,Penalty Kill,ERIK CERNAK,46,20202021,128.15,49.08%,50.69%,40.05%
