"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"91","Carter Hart","PHI","70","326.85","4.6692857142857","12.85","12.12","0.943","0.73","0.28","0.87","3.3","2.75","0.833","0.55","0.13","2.02","2.02","1.000","0.00","0.18","3.67","3.49","0.950","0.18","-0.05","1.65","0.55","64.90","10.00"
"49","Jordan Binnington","STL","92","394.4","4.2869565217391","10.5","9.89","0.942","0.61","0.22","0.94","3.19","2.89","0.905","0.30","0.36","2.43","2.28","0.938","0.15","0.06","1.98","1.83","0.923","0.15","-0.08","1.37","1.52","59.45","17.75"
"28","Dustin Tokarski","BUF","13","60.783333333333","4.675641025641","16.78","15.79","0.941","0.99","0.34","1.2","4.94","3.95","0.800","0.99","0.03","0","0","-","0.00","0.00","3.95","3.95","1.000","0.00","0.14","0.99","0","87.12","14.00"
"55","Andrei Vasilevskiy","T.B","94","446.66666666667","4.7517730496454","13.3","12.49","0.939","0.81","0.25","0.84","2.96","2.55","0.864","0.40","0.21","3.36","2.96","0.880","0.40","-0.11","2.69","2.69","1.000","0.00","0.09","1.48","0.4","65.81","17.83"
"23","Semyon Varlamov","NYI","81","317.63333333333","3.9213991769547","9.07","8.5","0.938","0.57","0.15","0.66","2.46","2.08","0.846","0.38","0.13","1.51","1.32","0.875","0.19","-0.06","2.46","2.46","1.000","0.00","0.09","2.08","0.19","62.06","24.33"
"25","Jake Allen","MTL, STL","53","247.01666666667","4.6606918238994","7.77","7.29","0.938","0.49","0.13","0.64","2.67","2.19","0.818","0.49","0.07","1.21","1.21","1.000","0.00","0.11","1.21","1.21","1.000","0.00","0.04","0.97","0.24","63.56","16.50"
"64","Antti Raanta","ARI","45","220","4.8888888888889","13.09","12.27","0.938","0.82","0.22","0.98","3","2.18","0.727","0.82","-0.20","3.82","3.82","1.000","0.00","0.34","2.73","2.73","1.000","0.00","0.10","2.18","0.27","61.75","12.67"
"14","Anton Khudobin","DAL","62","283.51666666667","4.5728494623656","9.95","9.31","0.936","0.63","0.15","0.47","0.85","0.63","0.750","0.21","-0.04","2.12","1.9","0.900","0.21","-0.03","2.33","2.12","0.909","0.21","-0.13","1.48","0.21","88.13","27.33"
"1","Craig Anderson","OTT, WSH","38","174.61666666667","4.5951754385965","10.65","9.96","0.935","0.69","0.16","0.56","2.06","1.37","0.667","0.69","-0.26","1.72","1.72","1.000","0.00","0.15","1.37","1.37","1.000","0.00","0.05","1.03","0.34","93.29","19.50"
"26","Michael Hutchinson","COL, TOR","24","99.55","4.1479166666667","9.04","8.44","0.933","0.60","0.11","0.86","2.41","1.81","0.750","0.60","-0.10","2.41","2.41","1.000","0.00","0.21","2.41","2.41","1.000","0.00","0.08","1.81","0.6","57.47","12.00"
"41","Louis Domingue","CGY, N.J, VAN","18","71.95","3.9972222222222","12.51","11.67","0.933","0.83","0.16","1.48","5","4.17","0.833","0.83","0.20","3.34","3.34","1.000","0.00","0.29","2.5","2.5","1.000","0.00","0.09","0.83","0.83","45.67","16.00"
"57","Chris Driedger","FLA","35","163.45","4.67","11.01","10.28","0.933","0.73","0.14","0.58","1.47","1.1","0.750","0.37","-0.06","2.2","1.84","0.833","0.37","-0.17","2.57","2.57","1.000","0.00","0.09","2.2","0","80.13","18.00"
"66","Cal Petersen","L.A","43","194.28333333333","4.5182170542636","13.9","12.97","0.933","0.93","0.17","0.74","3.09","2.16","0.700","0.93","-0.29","2.47","2.47","1.000","0.00","0.22","1.85","1.85","1.000","0.00","0.07","1.85","0.62","86.29","8.00"
"31","Anders Nilsson","OTT","20","88.866666666667","4.4433333333333","19.58","18.23","0.931","1.35","0.20","1.47","4.05","2.7","0.667","1.35","-0.51","7.43","7.43","1.000","0.00","0.65","2.7","2.7","1.000","0.00","0.09","2.03","1.35","64.86","14.50"
"62","Aaron Dell","N.J, S.J","40","166.28333333333","4.1570833333333","10.46","9.74","0.931","0.72","0.11","0.79","2.16","1.44","0.667","0.72","-0.27","2.16","2.16","1.000","0.00","0.19","2.53","2.53","1.000","0.00","0.09","1.08","0.36","72.03","8.50"
"68","Juuse Saros","NSH","76","332.2","4.3710526315789","10.3","9.57","0.930","0.72","0.09","0.7","2.71","1.99","0.733","0.72","-0.16","1.44","1.44","1.000","0.00","0.13","2.71","2.71","1.000","0.00","0.10","1.44","0.36","68.63","13.50"
"21","James Reimer","CAR","47","211.83333333333","4.5070921985816","7.65","7.08","0.926","0.57","0.04","0.52","2.55","1.98","0.778","0.57","-0.04","1.13","1.13","1.000","0.00","0.10","1.98","1.98","1.000","0.00","0.07","0.28","0.28","60.85","11.00"
"17","Tuukka Rask","BOS","65","330.23333333333","5.0805128205128","14.17","13.08","0.923","1.09","0.03","1.21","4.54","3.63","0.800","0.91","0.03","1.82","1.82","1.000","0.00","0.16","2.54","2.36","0.929","0.18","-0.09","3.63","0.73","70.36","20.17"
"84","Adin Hill","ARI","32","145.38333333333","4.5432291666667","10.73","9.9","0.923","0.83","0.02","0.65","2.06","1.24","0.600","0.83","-0.40","2.06","2.06","1.000","0.00","0.18","2.48","2.48","1.000","0.00","0.09","2.06","0.83","80.00","17.50"
"3","Henrik Lundqvist","NYR","30","148.3","4.9433333333333","14.97","13.76","0.919","1.21","-0.03","1.04","2.83","2.02","0.714","0.81","-0.22","2.02","1.62","0.800","0.40","-0.23","3.24","3.24","1.000","0.00","0.11","2.83","1.21","89.00","15.00"
"10","Brian Elliott","PHI","61","278.13333333333","4.5595628415301","10.57","9.71","0.918","0.86","-0.03","0.84","3.24","3.24","1.000","0.00","0.67","2.59","1.94","0.750","0.65","-0.42","2.16","1.94","0.900","0.22","-0.14","1.29","0.86","54.71","29.00"
"12","Cory Schneider","N.J","13","76.05","5.85","9.47","8.68","0.917","0.79","-0.04","0.65","1.58","1.58","1.000","0.00","0.33","0.79","0","0.000","0.79","-0.72","3.16","3.16","1.000","0.00","0.11","1.58","0.79","77.25","15.00"
